whale,quarter,filed,total_value,holdings_count,top5_weight
ark,2025-12-31,2026-02-11,15067426139.0,196,24.81
ark,2026-03-31,2026-05-12,12859485476.0,182,24.05
berkshire,2025-12-31,2026-02-17,274160086701.0,42,70.87
berkshire,2026-03-31,2026-05-15,263095703570.0,29,67.13
bridgewater,2025-12-31,2026-02-13,27421613830.0,1040,27.93
bridgewater,2026-03-31,2026-05-15,22404547213.0,993,30.78
nps,2025-12-31,2026-02-10,135066881342.0,561,24.47
nps,2026-03-31,2026-05-12,131679039771.0,562,22.99
pershing,2025-12-31,2026-02-17,15526737802.0,11,72.15
pershing,2026-03-31,2026-05-15,13714299861.0,11,78.18
renaissance,2025-12-31,2026-02-12,64461244358.0,3185,7.34
renaissance,2026-03-31,2026-05-14,63929893013.0,3213,6.84
scion,2025-06-30,2025-08-14,578337040.0,15,73.22
scion,2025-09-30,2025-11-03,1381198076.0,8,96.8
